,posting_id,image,image_phash,title,label_group,fold,filepath,pred_concat,target,pred_concat_only,f1_concat
0,train_129225211,0000a68812bc7e98c42888dfb1c07da0.jpg,94974f937d4c2433,Paper Bag Victoria Secret,666,0,app/dataset/shopee-product-matching/train_images/0000a68812bc7e98c42888dfb1c07da0.jpg,['train_129225211'],train_129225211,train_129225211,1.0
1,train_2288590299,000a190fdd715a2a36faed16e2c65df7.jpg,b94cb00ed3e50f78,Maling TTS Canned Pork Luncheon Meat 397 gr,6172,0,app/dataset/shopee-product-matching/train_images/000a190fdd715a2a36faed16e2c65df7.jpg,['train_2288590299'],train_2288590299,train_2288590299,1.0
2,train_2464356923,0013e7355ffc5ff8fb1ccad3e42d92fe.jpg,bbd097a7870f4a50,CELANA WANITA  (BB 45-84 KG)Harem wanita (bisa cod),6836,0,app/dataset/shopee-product-matching/train_images/0013e7355ffc5ff8fb1ccad3e42d92fe.jpg,['train_2464356923'],train_2464356923,train_2464356923,1.0
3,train_1802986387,00144a49c56599d45354a1c28104c039.jpg,f815c9bb833ab4c8,Jubah anak size 1-12 thn,4687,0,app/dataset/shopee-product-matching/train_images/00144a49c56599d45354a1c28104c039.jpg,['train_1802986387'],train_1802986387,train_1802986387,1.0
4,train_1806152124,0014f61389cbaa687a58e38a97b6383d.jpg,eea7e1c0c04da33d,KULOT PLISKET SALUR /CANDY PLISKET /WISH KULOT PREMIUM /KULOT PELANGI PREMIUM/HIEKA KULOT,3976,0,app/dataset/shopee-product-matching/train_images/0014f61389cbaa687a58e38a97b6383d.jpg,['train_1806152124'],train_1806152124,train_1806152124,1.0
5,train_831680791,001be52b2beec40ddc1d2d7fc7a68f08.jpg,e1ce953d1a70618f,BIG SALE SEPATU PANTOFEL KULIT KEREN KERJA KANTOR LAKI PRIA COWOK DINAS RESMI FORMAL PESTA KICKERS,6754,0,app/dataset/shopee-product-matching/train_images/001be52b2beec40ddc1d2d7fc7a68f08.jpg,['train_831680791'],train_831680791,train_831680791,1.0
6,train_2496690777,001e11145b8e9bf5ac51110c0fdd8697.jpg,eab5c295966ac368,PASHMINA KUSUT RAWIS POLOS CRINKLE SHAWL MURAH BANGET,1306,0,app/dataset/shopee-product-matching/train_images/001e11145b8e9bf5ac51110c0fdd8697.jpg,['train_2496690777'],train_2496690777,train_2496690777,1.0
7,train_4287573913,001f5580b058c6b8e33132190a757318.jpg,dc85e1750687f932,Charger VIZZ VZ-TC11 / batok charger vizz 1A ORIGINAL REAL KAPASITAS,4940,0,app/dataset/shopee-product-matching/train_images/001f5580b058c6b8e33132190a757318.jpg,['train_4287573913'],train_4287573913,train_4287573913,1.0
8,train_4196427721,002039aaf8618627a0442d5e89e5dda6.jpg,e98c873acc65946e,Korek Kuping LED untuk balita CherryBabyKidsShop SP LC,897,0,app/dataset/shopee-product-matching/train_images/002039aaf8618627a0442d5e89e5dda6.jpg,['train_4196427721'],train_4196427721 train_1482447822,train_4196427721,0.6666666666666666
9,train_2985955659,002f978c58a44a00aadfca71c3cad2bb.jpg,bf38f0e083d7c710,HnKfashion Sweater Hoodie WHO Printing BabyTerry - Fit L,8795,0,app/dataset/shopee-product-matching/train_images/002f978c58a44a00aadfca71c3cad2bb.jpg,['train_2985955659'],train_2985955659,train_2985955659,1.0
10,train_2961381387,00303ad1c062fdeaf5f41b9ffb71a5fb.jpg,e48d9b652098efe1,Madame Gie MakeUp Blush On BY GISELL,5382,0,app/dataset/shopee-product-matching/train_images/00303ad1c062fdeaf5f41b9ffb71a5fb.jpg,['train_2961381387'],train_2961381387,train_2961381387,1.0
11,train_2238403912,003524b70715bf6bfa00451ca08e66e0.jpg,ba35c44a3fb7c068,Kangaroo Teflon / Allu Fry Pan 18 cm - KG652,1363,0,app/dataset/shopee-product-matching/train_images/003524b70715bf6bfa00451ca08e66e0.jpg,['train_2238403912'],train_2238403912,train_2238403912,1.0
12,train_1396146683,0035b8fc42955c0fa2301b68e2ffe861.jpg,d5c0caa0aeb3b23e,CHOCO BALL LAGIE COKLAT Lagie Grosir Cokelat Lagie Murah Chocoball Kiloan Chocobal Coklat Kiloan 1Kg,10874,0,app/dataset/shopee-product-matching/train_images/0035b8fc42955c0fa2301b68e2ffe861.jpg,['train_1396146683'],train_1396146683 train_2843292969,train_1396146683,0.6666666666666666
13,train_1872347548,003906c6c6bba4cde15e5e854dba8f6d.jpg,f3e18c5ea14493e3,Stand Hanger Multifungsi - Tiang Gantungan Baju Jaket Syal 9 Hook,10391,0,app/dataset/shopee-product-matching/train_images/003906c6c6bba4cde15e5e854dba8f6d.jpg,['train_1872347548'],train_1872347548 train_998519723,train_1872347548,0.6666666666666666
14,train_2905529497,003c7129aef72ad3ae8af64eac5bfd29.jpg,ce4e2d3570721ab5,Masker Medis 3ply Earloop (50pcs) - Masker 3ply Disposable isi 50pcs - Masker 3ply Murah,5192,0,app/dataset/shopee-product-matching/train_images/003c7129aef72ad3ae8af64eac5bfd29.jpg,['train_2905529497'],train_2905529497,train_2905529497,1.0
15,train_1572286671,00416d439a613fb6cbede5cfc95176e6.jpg,bb3fccc4c013c3e1,Pakaian Dalam Cewek Wings Bra  Bra Tempel Seamless  Push Up Bra  BH Wanita IMPORT,1366,0,app/dataset/shopee-product-matching/train_images/00416d439a613fb6cbede5cfc95176e6.jpg,['train_1572286671'],train_1572286671,train_1572286671,1.0
16,train_2410183091,004822e4ab7dd38455a134fb2f2dd05e.jpg,ba4ac2435eb989b6,B33F My Food Shop Shopping Trolley - ST. 003 troli mainan edukasi anak keranjang belanja,6351,0,app/dataset/shopee-product-matching/train_images/004822e4ab7dd38455a134fb2f2dd05e.jpg,['train_2410183091'],train_2410183091,train_2410183091,1.0
17,train_1449570166,004ede0e328d05780813f853857463f1.jpg,c1d43c3f1f949685,Citra Tone Up Pearly White Body Lotion 180 ml / 180ml,9246,0,app/dataset/shopee-product-matching/train_images/004ede0e328d05780813f853857463f1.jpg,['train_1449570166'],train_1449570166,train_1449570166,1.0
18,train_1327117441,004ee5243d3dc2ae78cd8a1ec8369156.jpg,f68df276c191851c,Jam Tangan Pria Sporty Quicksilver Ocean Day Date Kulit,10069,0,app/dataset/shopee-product-matching/train_images/004ee5243d3dc2ae78cd8a1ec8369156.jpg,['train_1327117441'],train_1327117441,train_1327117441,1.0
19,train_2720300071,005742b269e0ea4b352235b084e88eb4.jpg,f9ce8693394ccc91,Laneige Cica Sleeping Mask Sample 10ml Original Masker Wajah Leneige Masker Tidur Lanege,6817,0,app/dataset/shopee-product-matching/train_images/005742b269e0ea4b352235b084e88eb4.jpg,['train_2720300071'],train_2720300071,train_2720300071,1.0
20,train_3906985249,0059bcdf255a1b95feed3a2799fc2696.jpg,b3248d9b8c9be4e4,Benton Fermentation Eye Cream 30ml,8584,0,app/dataset/shopee-product-matching/train_images/0059bcdf255a1b95feed3a2799fc2696.jpg,['train_3906985249'],train_3906985249,train_3906985249,1.0
21,train_4193869534,005bb468c673fb7f70319c120fb7106b.jpg,fee3811cf36224c3,Pelindung Lutut Bayi | Kaos Kaki Baby Knee Pad Protector,2575,0,app/dataset/shopee-product-matching/train_images/005bb468c673fb7f70319c120fb7106b.jpg,['train_4193869534' 'train_221113626'],train_4193869534,train_4193869534 train_221113626,0.6666666666666666
22,train_961019399,0061fff53b6eba569fb383da29fdcb47.jpg,b1ccce33b0ccb332,Masker Scuba Korea Anti Polusi & Debu Bahan Scuba,260,0,app/dataset/shopee-product-matching/train_images/0061fff53b6eba569fb383da29fdcb47.jpg,['train_961019399'],train_961019399,train_961019399,1.0
23,train_3350934785,0062ecb6613287fde4d3a6542e2d8bc7.jpg,bacb3ccb6634309c,Kitoderm Facial Soap Acne Tea Tree Oil (Hijau)  - sabun muka berjerawat,2512,0,app/dataset/shopee-product-matching/train_images/0062ecb6613287fde4d3a6542e2d8bc7.jpg,['train_3350934785'],train_3350934785,train_3350934785,1.0
24,train_476982317,0065dd4c4dacac6b41c11079dd1e0da9.jpg,e631998e8e9b6626,SENKA Perfect Whip Facial Foam (Shiseido),2719,0,app/dataset/shopee-product-matching/train_images/0065dd4c4dacac6b41c11079dd1e0da9.jpg,['train_476982317'],train_476982317,train_476982317,1.0
25,train_1243594898,006860e5c85173a4949a924ddcb5127a.jpg,a317b5e8d621cae1,TRACK RACER THOMAS SUPER MOTORDROME I,5085,0,app/dataset/shopee-product-matching/train_images/006860e5c85173a4949a924ddcb5127a.jpg,['train_1243594898'],train_1243594898,train_1243594898,1.0
26,train_2679824623,006f6bc53dc5696a5514fc4ba00b6c49.jpg,ec8f923469e3c4e1,Marcks Teens Compact Powder,3907,0,app/dataset/shopee-product-matching/train_images/006f6bc53dc5696a5514fc4ba00b6c49.jpg,"['train_2679824623' 'train_1081627741' 'train_3048513916'
 'train_3116514616']",train_2679824623 train_3116514616 train_1081627741 train_3048513916,train_2679824623 train_1081627741 train_3048513916 train_3116514616,1.0
27,train_140914082,007084f5652dbddedb3ab371c209cd25.jpg,be7e45c032584577,COOCAA LED TV 40 inch - Android 9.0 - Smart TV - FullHD - Infinity View - Netflix (Model 40S6G),9392,0,app/dataset/shopee-product-matching/train_images/007084f5652dbddedb3ab371c209cd25.jpg,['train_140914082'],train_140914082,train_140914082,1.0
28,train_3743764071,007847916882fe2583b24428e8d68a9e.jpg,d02aafc5e4d2ab38,Aloevera kiloan gel aloe vera curah lidah buaya extract clinically grade bahan hand sanitizer,4728,0,app/dataset/shopee-product-matching/train_images/007847916882fe2583b24428e8d68a9e.jpg,['train_3743764071'],train_3743764071,train_3743764071,1.0
29,train_3497907844,007be583a5a4edc3fc54b0779e141a9f.jpg,9ba6cc31a427a675,ARSHOP MAYCREATE MOISTURIZING UV SPRAY 150ML (1 KG MUAT 6PCS),2994,0,app/dataset/shopee-product-matching/train_images/007be583a5a4edc3fc54b0779e141a9f.jpg,"['train_3497907844' 'train_1699906038' 'train_1354360830'
 'train_2677100375' 'train_4175229751' 'train_515008716' 'train_516663932'
 'train_2930186018' 'train_3480877149' 'train_2041937727']",train_3497907844 train_4175229751 train_2930186018 train_515008716 train_1354360830 train_516663932 train_2677100375 train_3480877149 train_2041937727 train_1699906038,train_3497907844 train_1699906038 train_1354360830 train_2677100375 train_4175229751 train_515008716 train_516663932 train_2930186018 train_3480877149 train_2041937727,1.0
30,train_363659042,007d0a0225c599d9a68012d8e1aa4f92.jpg,b1991c9e18b366d9,Lemari Pakaian Plastik Olymplast Odc 04 Susun 4 Multicolor A3B2 Alumunium Susun Geser,7285,0,app/dataset/shopee-product-matching/train_images/007d0a0225c599d9a68012d8e1aa4f92.jpg,['train_363659042'],train_363659042,train_363659042,1.0
31,train_3921931335,007ed1560a37f2fc76297ed06af5c4a5.jpg,facb8794856d52c2,KEDAS BEAUTY BODY SERUM BER BPOM,5705,0,app/dataset/shopee-product-matching/train_images/007ed1560a37f2fc76297ed06af5c4a5.jpg,['train_3921931335'],train_3921931335,train_3921931335,1.0
32,train_3453637142,007fc7acc773e85d7592f377556fcf73.jpg,8116eee9f2c0ad33,Botol Antis 30 Ml (KEMASAN 25 pcs @Rp 1199) BEST PRODUCT PRODUKSI,7647,0,app/dataset/shopee-product-matching/train_images/007fc7acc773e85d7592f377556fcf73.jpg,['train_3453637142'],train_3453637142,train_3453637142,1.0
33,train_2281183509,007fca8ce9a042f9e1656ce8f96ba19d.jpg,e29b9d52d8a649ac,DZUVIA TUNIK / NEDA TUNIK,3499,0,app/dataset/shopee-product-matching/train_images/007fca8ce9a042f9e1656ce8f96ba19d.jpg,['train_2281183509' 'train_615566263' 'train_4211190878'],train_2281183509 train_615566263 train_4211190878,train_2281183509 train_615566263 train_4211190878,1.0
34,train_615566263,007fca8ce9a042f9e1656ce8f96ba19d.jpg,e29b9d52d8a649ac,TUNIK DZUVIA KANCING HIDUP SYARI MOSCREPE PREMIUM,3499,0,app/dataset/shopee-product-matching/train_images/007fca8ce9a042f9e1656ce8f96ba19d.jpg,['train_615566263' 'train_2281183509' 'train_4211190878'],train_2281183509 train_615566263 train_4211190878,train_615566263 train_2281183509 train_4211190878,1.0
35,train_3663748113,0082c9c530852846a5f970ca1b8dc334.jpg,9acce1334ced3a94,Packing Kardus Tambahan - Packing Ekstra Kardus - Packing Pengaman Agar Tidak Bocor,561,0,app/dataset/shopee-product-matching/train_images/0082c9c530852846a5f970ca1b8dc334.jpg,['train_3663748113'],train_3663748113,train_3663748113,1.0
36,train_2231906914,00844c7713155dcc12a657b7d4691117.jpg,b3cbcccc8c326666,La Tulipe Acne Soothing Mist - 60ml,3128,0,app/dataset/shopee-product-matching/train_images/00844c7713155dcc12a657b7d4691117.jpg,['train_2231906914'],train_2231906914,train_2231906914,1.0
37,train_3241824372,0087a5465491291911cdbb56debd5253.jpg,ebccb4921b68ec62,CHARGER XIAOMI ORIGINAL FAST CHARGING QC 3.0 5V 2.5A / 9V 2A,510,0,app/dataset/shopee-product-matching/train_images/0087a5465491291911cdbb56debd5253.jpg,['train_3241824372'],train_3241824372,train_3241824372,1.0
38,train_1734882388,008a7e4f77c10f36ace0314cff98ba09.jpg,da00a03e871f9f37,TZUKI SOAP 1 PCS,9011,0,app/dataset/shopee-product-matching/train_images/008a7e4f77c10f36ace0314cff98ba09.jpg,"['train_1734882388' 'train_643267610' 'train_2856183961'
 'train_1420726013' 'train_3043787667' 'train_376606672'
 'train_3137411481' 'train_3466020680']",train_1734882388 train_3043787667 train_2856183961 train_1420726013 train_376606672 train_3257875090 train_3466020680 train_643267610 train_3137411481,train_1734882388 train_643267610 train_2856183961 train_1420726013 train_3043787667 train_376606672 train_3137411481 train_3466020680,0.9411764705882353
39,train_1612784649,008b51588806c7649b8d9f359ecd352f.jpg,93986a4db4b6ca9a,Nova NS-216 Alat Cukur Janggut Shaver Hair Clipper Mesin Cukur Kumis Jenggot Cukuran cas,9251,0,app/dataset/shopee-product-matching/train_images/008b51588806c7649b8d9f359ecd352f.jpg,['train_1612784649'],train_1612784649,train_1612784649,1.0
40,train_2510999729,008f8aac1d118f0b318b918aa783e9ed.jpg,934f36b444d03d3b,Anti Blue Light Film Sony Xperia XZ1 XZ3 XZ/XZ2 Premium XA2 Plus/Ultra Xperia 1 10 Plus Screen Guard,4355,0,app/dataset/shopee-product-matching/train_images/008f8aac1d118f0b318b918aa783e9ed.jpg,['train_2510999729'],train_2510999729,train_2510999729,1.0
41,train_3919593581,00957d8d80d5f5fc56e81dad56ee033b.jpg,b08fcfb830c7c938,YOU Golden Age Revitalizing Night Cream 30g[Overnight Skin Reviving Complex],2038,0,app/dataset/shopee-product-matching/train_images/00957d8d80d5f5fc56e81dad56ee033b.jpg,['train_3919593581'],train_3919593581,train_3919593581,1.0
42,train_2010199669,00974314c83c8ffcc3c584dc8011bb3f.jpg,a4d39a2dc33e9a61,TAS SELEMPANG WANITA SOPHIE MARTIN KULIT MURAH MAROON AMITEE T5299M2 DISKON MEMBER PROMO TERMURAH,5853,0,app/dataset/shopee-product-matching/train_images/00974314c83c8ffcc3c584dc8011bb3f.jpg,['train_2010199669'],train_2010199669,train_2010199669,1.0
43,train_4211938281,009806730ca9c18b829239c9915d898f.jpg,e03897a74bca396c,(SHOELACE) Tali Sepatu Vans Motif Chakerboard,919,0,app/dataset/shopee-product-matching/train_images/009806730ca9c18b829239c9915d898f.jpg,['train_4211938281'],train_4211938281,train_4211938281,1.0
44,train_149323111,009d89f1323ec58521af3fb2aaa4ea5e.jpg,ec85d23ee429c396,Bantal Olus Pillow Bayi - Bantal Anti Peyang untuk Terapi dan Kesehatan Bayi,383,0,app/dataset/shopee-product-matching/train_images/009d89f1323ec58521af3fb2aaa4ea5e.jpg,['train_149323111'],train_149323111,train_149323111,1.0
